Benchmark,simSeconds,simTicks,simInsts,hostSeconds,simFreq,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.fetchStats0.numBranches,system.cpu.fetchStats0.branchRate,system.membus.pktCount_system.cpu.icache_port::system.mem_ctrls.port,system.membus.pktCount_system.cpu.dcache_port::system.mem_ctrls.port,system.membus.pktSize_system.cpu.icache_port::system.mem_ctrls.port,system.membus.pktSize_system.cpu.dcache_port::system.mem_ctrls.port,system.cpu.power_state.pwrStateResidencyTicks::ON,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy
CCm,3.8e-05,38446000.0,59937.0,0.05,1000000000000.0,777678558.0,609552.0,59937.0,76893.0,1.282662,0.779629,16984.0,0.220878,153786.0,1972.0,307572.0,6665.0,38446000.0,14763360.0,14763360.0
EM1,1.8e-05,17827000.0,18840.0,0.02,1000000000000.0,793868717.0,609552.0,18840.0,35655.0,1.891412,0.528706,4662.0,0.130753,71310.0,1972.0,142620.0,6665.0,17827000.0,6845760.0,6845760.0
DPT,7.2e-05,72124500.0,106968.0,0.09,1000000000000.0,845063878.0,609556.0,106968.0,144250.0,1.348395,0.741622,29754.0,0.206267,288500.0,20444.0,577000.0,47769.0,72124500.0,27696000.0,27696000.0
MIM2,5.6e-05,55959000.0,105232.0,0.08,1000000000000.0,679496946.0,609552.0,105232.0,111919.0,1.063434,0.94035,19033.0,0.17006,223838.0,100276.0,447676.0,334345.0,55959000.0,21488640.0,21488640.0
CCl,7.3e-05,73169500.0,119234.0,0.08,1000000000000.0,943120390.0,609556.0,119234.0,146340.0,1.227221,0.814849,4678.0,0.031967,292680.0,6068.0,585360.0,8713.0,73169500.0,28097280.0,28097280.0
EF,2.2e-05,21940500.0,43438.0,0.04,1000000000000.0,560336711.0,609552.0,43438.0,43882.0,1.009966,0.990133,4661.0,0.106217,87764.0,2004.0,175528.0,6729.0,21940500.0,8425440.0,8425440.0
STL2,0.000192,191952500.0,309670.0,0.26,1000000000000.0,737243504.0,609552.0,309670.0,383906.0,1.239682,0.806658,70197.0,0.182849,767812.0,272310.0,1535624.0,1071629.0,191952500.0,73709760.0,73709760.0
ML2BWst,0.000346,345554000.0,625067.0,0.4,1000000000000.0,855766092.0,609552.0,625067.0,691109.0,1.105636,0.904456,98872.0,0.143063,1382218.0,329652.0,2764436.0,1186313.0,345554000.0,132693120.0,132693120.0
CRd,0.052196,52195528500.0,85974021.0,59.49,1000000000000.0,877417633.0,609552.0,85974021.0,104391058.0,1.214216,0.823577,21486645.0,0.205828,208782116.0,44223752.0,417564232.0,176893785.0,52195528500.0,20043083040.0,20043083040.0
MMst,0.001798,1797919500.0,2979849.0,2.15,1000000000000.0,834342324.0,609816.0,2979849.0,3595840.0,1.205472,0.829551,745550.0,0.207337,7191680.0,1937402.0,14383360.0,7336729.0,1797919500.0,690401280.0,690401280.0
MIM,5.6e-05,55959000.0,105232.0,0.08,1000000000000.0,670653756.0,609552.0,105232.0,111919.0,1.063434,0.94035,19033.0,0.17006,223838.0,100276.0,447676.0,334345.0,55959000.0,21488640.0,21488640.0
ED1,1.2e-05,11686000.0,14748.0,0.02,1000000000000.0,635073387.0,609552.0,14748.0,23373.0,1.583644,0.631455,4663.0,0.199504,46746.0,1972.0,93492.0,6665.0,11686000.0,4487520.0,4487520.0
CCh,0.000788,787636000.0,1182146.0,0.79,1000000000000.0,994764038.0,609568.0,1182146.0,1575273.0,1.332541,0.750446,262726.0,0.166781,3150546.0,264116.0,6301092.0,137737.0,787636000.0,302452320.0,302452320.0
CS1,5e-06,5250500.0,8294.0,0.01,1000000000000.0,408945059.0,609552.0,8294.0,10502.0,1.264539,0.790802,2490.0,0.237098,21004.0,3252.0,42008.0,9225.0,5250500.0,2016480.0,2016480.0
CF1,8e-06,8086500.0,14997.0,0.02,1000000000000.0,512688087.0,609556.0,14997.0,16174.0,1.077692,0.927909,2486.0,0.153703,32348.0,5028.0,64696.0,11385.0,8086500.0,3105600.0,3105600.0
MDyn,0.00267,2670038000.0,4282798.0,3.31,1000000000000.0,806871711.0,609816.0,4282798.0,5340077.0,1.246863,0.802013,1053240.0,0.197233,10680154.0,4212660.0,21360308.0,16816649.0,2670038000.0,1025294880.0,1025294880.0
STL2b,0.000232,232103000.0,397486.0,0.28,1000000000000.0,830530490.0,609552.0,397486.0,464207.0,1.167825,0.856293,99128.0,0.213543,928414.0,264628.0,1856828.0,794121.0,232103000.0,89127840.0,89127840.0
ML2BWld,0.000493,492964500.0,788907.0,0.57,1000000000000.0,871915932.0,609552.0,788907.0,985930.0,1.249724,0.800176,98872.0,0.100283,1971860.0,460724.0,3943720.0,1448457.0,492964500.0,189298560.0,189298560.0
MD,0.000112,112198500.0,190276.0,0.15,1000000000000.0,744839953.0,609552.0,190276.0,224398.0,1.179063,0.848131,44369.0,0.197725,448796.0,136192.0,897592.0,502373.0,112198500.0,43084320.0,43084320.0
CRf,8.6e-05,86306000.0,165374.0,0.11,1000000000000.0,751564380.0,609552.0,165374.0,172613.0,1.043704,0.958126,41134.0,0.238302,345226.0,99868.0,690452.0,398249.0,86306000.0,33141600.0,33141600.0
CCa,3.4e-05,34262000.0,51706.0,0.04,1000000000000.0,837918054.0,609552.0,51706.0,68525.0,1.325,0.754717,8790.0,0.128274,137050.0,1972.0,274100.0,6665.0,34262000.0,13156800.0,13156800.0
DP1d,0.000196,195768000.0,293966.0,0.25,1000000000000.0,779975886.0,609552.0,293966.0,391537.0,1.331863,0.750828,41050.0,0.104843,783074.0,228670.0,1566148.0,913461.0,195768000.0,75175200.0,75175200.0
