Benchmark,simSeconds,simTicks,simInsts,hostSeconds,simFreq,hostTickRate,hostMemory,simOps,system.cpu.numCycles,system.cpu.cpi,system.cpu.ipc,system.cpu.fetchStats0.numBranches,system.cpu.fetchStats0.branchRate,system.membus.pktCount_system.cpu.icache_port::system.mem_ctrls.port,system.membus.pktCount_system.cpu.dcache_port::system.mem_ctrls.port,system.membus.pktSize_system.cpu.icache_port::system.mem_ctrls.port,system.membus.pktSize_system.cpu.dcache_port::system.mem_ctrls.port,system.cpu.power_state.pwrStateResidencyTicks::ON,system.mem_ctrls.dram.rank0.totalEnergy,system.mem_ctrls.dram.rank1.totalEnergy
CCm,0.003997,3997125000.0,59937.0,0.21,1000000000000.0,19419506762.0,609552.0,59937.0,7994250.0,133.353073,0.007499,16984.0,0.002125,153786.0,1972.0,307572.0,6665.0,3997125000.0,2731766205.0,1859301810.0
EM1,0.001871,1871185000.0,18840.0,0.1,1000000000000.0,18995977393.0,609552.0,18840.0,3742370.0,198.523686,0.005037,4662.0,0.001246,71310.0,1972.0,142620.0,6665.0,1871185000.0,1278251745.0,870303840.0
DPT,0.007807,7807042000.0,106968.0,0.39,1000000000000.0,19773425021.0,609556.0,106968.0,15614084.0,145.954664,0.006851,29754.0,0.001906,288500.0,20444.0,577000.0,47769.0,7807042000.0,5353293000.0,3631539060.0
MIM2,0.007441,7440674000.0,105232.0,0.38,1000000000000.0,19483153164.0,609560.0,105232.0,14881348.0,141.399884,0.007072,19033.0,0.001279,223838.0,100276.0,447676.0,334345.0,7440674000.0,4938508410.0,3658411440.0
CCl,0.007684,7683729000.0,119234.0,0.39,1000000000000.0,19875654925.0,609560.0,119234.0,15367458.0,128.872976,0.00776,4678.0,0.000304,292680.0,6068.0,585360.0,8713.0,7683729000.0,5283510180.0,3574069140.0
EF,0.002296,2296261000.0,43438.0,0.13,1000000000000.0,17978222157.0,609552.0,43438.0,4592522.0,105.699142,0.009461,4661.0,0.001015,87764.0,2004.0,175528.0,6729.0,2296261000.0,1568634420.0,1067681100.0
STL2,0.022864,22864390000.0,309670.0,1.18,1000000000000.0,19362282483.0,609552.0,309670.0,45728780.0,147.664145,0.006772,70197.0,0.001535,767812.0,272310.0,1535624.0,1071629.0,22864390000.0,15256654050.0,10807101570.0
ML2BWst,0.039505,39504711000.0,625067.0,2.1,1000000000000.0,18839753803.0,609552.0,625067.0,79009422.0,126.399301,0.007911,98872.0,0.001251,1382218.0,329652.0,2764436.0,1186313.0,39504711000.0,26742404715.0,19215800925.0
CRd,6.151899,6151899400000.0,85974021.0,313.96,1000000000000.0,19594489014.0,609556.0,85974021.0,12303798800.0,143.110639,0.006988,21486645.0,0.001746,208782116.0,44223752.0,417564232.0,176893785.0,6151899400000.0,4185307100805.0,2861963009490.0
MMst,0.219671,219671318000.0,2979849.0,11.35,1000000000000.0,19350353852.0,609948.0,2979849.0,439342636.0,147.285502,0.00679,745550.0,0.001697,7191680.0,1937402.0,14383360.0,7336729.0,219671318000.0,149526417690.0,104073598560.0
